m	p	s	samples	purity	coverage	width	ARI	RI	recall	precision
m5	mS	7	2	0.8	200	0.0458822658333	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	2	0.8	500	0.0306254581818	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	2	1.0	10000	0.00692925307692	1.0	1.0	1.0	1.0
m5	mS	7	2	1.0	1000	0.0218454953846	1.0	1.0	1.0	1.0
m5	mS	7	2	1.0	200	0.0539912436364	0.973557514258	0.994957983193	1.0	0.953846153846
m5	mS	7	2	1.0	500	0.032477	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	3	0.5	10000	0.00525198512821	1.0	1.0	1.0	1.0
m5	mS	7	3	0.5	1000	0.0165686912821	1.0	1.0	1.0	1.0
m5	mS	7	3	0.5	200	0.0483532572222	0.904378570281	0.981512605042	0.951612903226	0.880597014925
m5	mS	7	3	0.5	500	0.0234615194872	1.0	1.0	1.0	1.0
m5	mS	7	3	0.8	10000	0.00628317076923	1.0	1.0	1.0	1.0
m5	mS	7	3	0.8	1000	0.0197936902564	1.0	1.0	1.0	1.0
m5	mS	7	3	0.8	200	0.0443895683333	0.956535713764	0.991596638655	1.0	0.925373134328
m5	mS	7	3	0.8	500	0.0279343841026	1.0	1.0	1.0	1.0
